NTTN A END,NTTN Z END,SCR ID
Dhaka,Cumilla,LT-BW003 / LT-BW003/S
Dhaka,Khulna,LT-BW001 / LT-BW001/S
Dhaka,Barishal,LT-BW002 / LT-BW002/S
Dhaka,Jamgora,LT-BW005
Dhaka,Salna,LT-BW004
Dhaka,Narayanganj,LT-BW006 / Secondary : LT3DBW0006S
Dhaka(coloasia),Borak,LT3DBW0010P
Dhaka(Khaja Tower),Borak,LT3DBW0011P
Dhaka,Bogura,LT3DBW0013P
